"","","","","","",""
"2052705","NORTH SYDNEY","4/12/2023","12:12 PM","607","103","Cable dig"
"2052780","CANTERBURY","4/12/2023","16:12 PM","112","295","Third party"
"2052805","ROCKDALE","4/12/2023","20:12 PM","8424","45","Environmental"
"2052814","SUTHERLAND","4/12/2023","21:12 PM","1512","131","Equipment fault"
"2052829","MANLY","5/12/2023","0:12 AM","2073","78","Environmental"
"2052832","PITTWATER","5/12/2023","1:12 AM","77","88","Environmental"
"2052854","RANDWICK","5/12/2023","1:12 AM","51","644","Equipment fault"
"2052752","MARRICKVILLE","5/12/2023","11:12 AM","60","350","Environmental"
"2052941","DRUMMOYNE","5/12/2023","13:12 PM","55","209","Environmental"
"2053000","SUTHERLAND","5/12/2023","16:12 PM","58","126","Equipment fault"
"2053002","STRATHFIELD","5/12/2023","16:12 PM","101","315","Equipment fault"
"2053028","HURSTVILLE","5/12/2023","18:12 PM","57","87","Equipment fault"
"2053034","GOSFORD","5/12/2023","18:12 PM","1039","62","Environmental"
"2053081","LAKE MACQUARIE","6/12/2023","3:12 AM","755","47","Environmental"
"2053086","LAKE MACQUARIE","6/12/2023","4:12 AM","69","442","Environmental"
"2053363","RYDE","6/12/2023","16:12 PM","100","179","Equipment fault"
"2053520","HORNSBY","7/12/2023","12:12 PM","1046","92","Equipment fault"
"2053498","RYDE","7/12/2023","17:12 PM","55","45","Equipment fault"
"2053588","WARRINGAH","7/12/2023","18:12 PM","140","92","Environmental"
"2053606","GOSFORD","8/12/2023","2:12 AM","306","103","Environmental"
"2053656","ROCKDALE","8/12/2023","11:12 AM","2004","108","Equipment fault"
"2053664","BANKSTOWN","8/12/2023","11:12 AM","54","28","Equipment fault"
"2053722","GOSFORD","8/12/2023","15:12 PM","1014","20","Equipment fault"
"2053730","MUSWELLBROOK","8/12/2023","16:12 PM","255","103","Environmental"
